HES_ZONE,CONTOURLEN,GIS_ID,TARGET_FID,JOIN_COUNT,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,SHAPEAREA,SHAPELEN
4,28568523.6978,WaterSurgePly_1,5271,1,{7041FFAA-2795-487D-9384-79A2FE0B8AFA},,,,,1,0,0
3,27780458.0136,WaterSurgePly_2,5272,1,{AD9F3E02-7145-4DAA-86B3-689CB999A486},,,,,2,0,0
2,27221791.7907,WaterSurgePly_3,5273,1,{0CFCFB17-AB3E-4A70-ADAA-35E25224A8F1},,,,,3,0,0
1,15099290.6315,WaterSurgePly_4,5274,1,{FB0F1775-D328-4FD2-9136-A34E1F5DC937},,,,,4,0,0
4,28568523.6978,WaterSurgePly_5,5271,1,{6A566DD0-C7FC-4559-89E8-E8D28095F6B1},,,,,5,0,0
3,6831.1475036,WaterSurgePly_6,2712,1,{CEBD762B-AB50-49CB-BEF7-D541B14519F6},,,,,6,0,0
3,23533.0346924,WaterSurgePly_7,2657,1,{1FD9AA16-B2AA-4DD4-B2D4-01C1D48A1103},,,,,7,0,0
4,9024.08333997,WaterSurgePly_8,2629,1,{495B4C9C-6725-45EE-B661-1515AE22DEF9},,,,,8,0,0
3,61678.2375398,WaterSurgePly_9,2622,1,{871D03B0-75EF-4B16-BE3B-8D4B6C2A86B5},,,,,9,0,0
2,15164.3622639,WaterSurgePly_10,2621,1,{0E01ABAA-9968-493E-BE2A-0FB30684832D},,,,,10,0,0
99,36053.7907903,WaterSurgePly_11,2597,1,{F19960F5-8D85-421B-949A-2CB10BA1BDA4},,,,,11,0,0
2,5351.91160672,WaterSurgePly_12,2562,1,{D8819105-BB3A-480A-B2B8-F4F0AA596173},,,,,12,0,0
4,6250.46447386,WaterSurgePly_13,2546,1,{095DC24B-501F-47F5-A7DA-8371042D5C83},,,,,13,0,0
3,34996.1964017,WaterSurgePly_14,2534,1,{FEFC92E8-5021-408A-9265-6915A119444D},,,,,14,0,0
4,10387.7296856,WaterSurgePly_15,2512,1,{BAE713E3-84EE-4146-9221-7024967C1AF5},,,,,15,0,0
2,8843.56778148,WaterSurgePly_16,2440,1,{30D8719E-77A6-4E2F-BF43-3B56E898B408},,,,,16,0,0
2,27221791.7907,WaterSurgePly_17,5273,1,{98DE8302-25A5-40E5-8C22-C294E8CA1FBB},,,,,17,0,0
99,7537.96801367,WaterSurgePly_18,2311,1,{D63F9A96-01FF-4640-ACA2-89AEE84740F4},,,,,18,0,0
1,9075.48435203,WaterSurgePly_19,2222,1,{2B16A555-F720-40F0-B25C-C3EE86A5BF9D},,,,,19,0,0
